SYMBOL,TIME FRAME,MAGIC,AVG CANDLE,ACTION,TP,SL,METHOD,DATA,RESULT,AMOUNT
EURUSD,M1,1438,7.71E-05,buy,15.42857143,15.42857143,fibonacci_price_action,,L,
EURUSD,M1,1441,6.43E-05,sell,12.85714286,12.85714286,fibonacci_price_action,,L,
EURUSD,M1,1447,9.86E-05,sell,19.71428571,19.71428571,fibonacci_price_action,,L,
EURUSD,M1,1451,7.00E-05,sell,14,14,fibonacci_price_action,,L,
EURUSD,M1,1516,0.0001,sell,20,20,fibonacci_price_action,,L,
EURUSD,M1,1526,5.86E-05,sell,11.71428571,11.71428571,fibonacci_price_action,,W,
EURUSD,M1,1557,6.14E-05,sell,12.28571429,12.28571429,fibonacci_price_action,,W,
EURUSD,M1,1565,0.000162857,sell,32.57142857,32.57142857,fibonacci_price_action,,L,
EURUSD,M1,1597,8.57E-05,sell,17.14285714,17.14285714,fibonacci_price_action,,L,
EURUSD,M1,1599,7.86E-05,sell,15.71428571,15.71428571,fibonacci_price_action,,L,
EURUSD,M1,1603,0.000127143,sell,25.42857143,25.42857143,fibonacci_price_action,,L,
EURUSD,M1,1606,9.29E-05,buy,18.57142857,18.57142857,fibonacci_price_action,,W,
EURUSD,M1,1647,0.000278571,sell,55.71428571,55.71428571,fibonacci_price_action,,W,
EURUSD,M1,1649,0.000218571,buy,43.71428571,43.71428571,fibonacci_price_action,,L,
EURUSD,M1,1654,0.000141429,buy,28.28571429,28.28571429,fibonacci_price_action,,L,
EURUSD,M1,1664,8.43E-05,buy,16.85714286,16.85714286,fibonacci_price_action,,L,
EURUSD,M1,1666,8.86E-05,buy,17.71428571,17.71428571,fibonacci_price_action,,L,
EURUSD,M1,1672,9.00E-05,sell,18,18,fibonacci_price_action,,W,1.9
GBPUSD,M1,1228,0.000121429,buy,24.28571429,24.28571429,fibonacci_price_action,,W,
GBPUSD,M1,1246,8.86E-05,sell,17.71428571,17.71428571,fibonacci_price_action,,L,
GBPUSD,M1,1264,6.43E-05,sell,12.85714286,12.85714286,fibonacci_price_action,,L,
GBPUSD,M1,1289,0.000117143,buy,23.42857143,23.42857143,fibonacci_price_action,,W,
GBPUSD,M1,1290,0.000118571,buy,23.71428571,23.71428571,fibonacci_price_action,,W,
GBPUSD,M1,1295,0.000222857,buy,44.57142857,44.57142857,fibonacci_price_action,,W,
GBPUSD,M1,1321,0.000287143,sell,57.42857143,57.42857143,fibonacci_price_action,,L,
GBPUSD,M1,1322,0.000232857,buy,46.57142857,46.57142857,fibonacci_price_action,,L,
GBPUSD,M1,1357,0.000148571,sell,29.71428571,29.71428571,fibonacci_price_action,,W,
GBPUSD,M1,1358,0.000167143,buy,33.42857143,33.42857143,fibonacci_price_action,,L,
GBPUSD,M1,1365,0.000247143,buy,49.42857143,49.42857143,fibonacci_price_action,,W,
GBPUSD,M1,1378,0.000197143,sell,39.42857143,39.42857143,fibonacci_price_action,,L,
GBPUSD,M1,1379,0.000204286,sell,40.85714286,40.85714286,fibonacci_price_action,,L,
GBPUSD,M1,1381,0.000171429,buy,34.28571429,34.28571429,fibonacci_price_action,,L,
GBPUSD,M1,1382,0.000247143,buy,49.42857143,49.42857143,fibonacci_price_action,,W,
GBPUSD,M1,1388,0.000272857,buy,54.57142857,54.57142857,fibonacci_price_action,,W,
GBPUSD,M1,1389,0.000252857,sell,50.57142857,50.57142857,fibonacci_price_action,,L,
GBPUSD,M1,1393,0.000225714,sell,45.14285714,45.14285714,fibonacci_price_action,,L,
GBPUSD,M1,1398,0.000204286,buy,40.85714286,40.85714286,fibonacci_price_action,,L,
GBPUSD,M1,1410,0.000144286,buy,28.85714286,28.85714286,fibonacci_price_action,,W,
GBPUSD,M1,1415,0.000215714,sell,43.14285714,43.14285714,fibonacci_price_action,,L,
GBPUSD,M1,1418,0.000195714,buy,39.14285714,39.14285714,fibonacci_price_action,,L,
GBPUSD,M1,1420,0.000148571,buy,29.71428571,29.71428571,fibonacci_price_action,,L,
GBPUSD,M1,1421,0.000152857,sell,30.57142857,30.57142857,fibonacci_price_action,,W,
GBPUSD,M1,1425,0.000128571,sell,25.71428571,25.71428571,fibonacci_price_action,,L,
GBPUSD,M1,1450,1.00E-04,sell,20,20,fibonacci_price_action,,L,
GBPUSD,M1,1514,0.000138571,buy,27.71428571,27.71428571,fibonacci_price_action,,L,
GBPUSD,M1,1532,8.43E-05,sell,16.85714286,16.85714286,fibonacci_price_action,,W,
GBPUSD,M1,1534,8.57E-05,buy,17.14285714,17.14285714,fibonacci_price_action,,W,
GBPUSD,M1,1544,6.14E-05,buy,12.28571429,12.28571429,fibonacci_price_action,,L,
GBPUSD,M1,1578,0.000252857,sell,50.57142857,50.57142857,fibonacci_price_action,,L,
GBPUSD,M1,1581,0.000191429,sell,38.28571429,38.28571429,fibonacci_price_action,,W,
GBPUSD,M1,1623,0.000184286,buy,36.85714286,36.85714286,fibonacci_price_action,,W,
GBPUSD,M1,1652,0.000221429,buy,44.28571429,44.28571429,fibonacci_price_action,,L,
GBPUSD,M1,1655,0.000154286,buy,30.85714286,30.85714286,fibonacci_price_action,,L,
GBPUSD,M1,1662,0.000178571,buy,35.71428571,35.71428571,fibonacci_price_action,,W,
GBPUSD,M1,1663,0.00012,buy,24,24,fibonacci_price_action,,W,
GBPUSD,M1,1670,0.000128571,sell,25.71428571,25.71428571,fibonacci_price_action,,W,2.7
GBPUSD,M1,1674,0.000171429,buy,34.28571429,34.28571429,fibonacci_price_action,,W,3.4
GBPUSD,M1,1676,0.000154286,buy,30.85714286,30.85714286,fibonacci_price_action,,W,3.1
USDJPY,M1,1223,0.013142857,sell,26.28571429,26.28571429,fibonacci_price_action,,L,
USDJPY,M1,1224,0.008285714,sell,16.57142857,16.57142857,fibonacci_price_action,,W,
USDJPY,M1,1226,0.008142857,buy,16.28571429,16.28571429,fibonacci_price_action,,L,
USDJPY,M1,1240,0.018857143,buy,37.71428571,37.71428571,fibonacci_price_action,,W,
USDJPY,M1,1243,0.043,sell,86,86,fibonacci_price_action,,L,
USDJPY,M1,1245,0.028428571,buy,56.85714286,56.85714286,fibonacci_price_action,,W,
USDJPY,M1,1250,0.026285714,sell,52.57142857,52.57142857,fibonacci_price_action,,L,
USDJPY,M1,1258,0.019714286,sell,39.42857143,39.42857143,fibonacci_price_action,,L,
USDJPY,M1,1300,0.028142857,buy,56.28571429,56.28571429,fibonacci_price_action,,W,
USDJPY,M1,1302,0.031285714,buy,62.57142857,62.57142857,fibonacci_price_action,,W,
USDJPY,M1,1305,0.028285714,sell,56.57142857,56.57142857,fibonacci_price_action,,W,
USDJPY,M1,1307,0.028571429,buy,57.14285714,57.14285714,fibonacci_price_action,,W,
USDJPY,M1,1308,0.029142857,buy,58.28571429,58.28571429,fibonacci_price_action,,W,
USDJPY,M1,1309,0.033571429,sell,67.14285714,67.14285714,fibonacci_price_action,,L,
USDJPY,M1,1325,0.022428571,sell,44.85714286,44.85714286,fibonacci_price_action,,W,
USDJPY,M1,1328,0.022857143,sell,45.71428571,45.71428571,fibonacci_price_action,,L,
USDJPY,M1,1330,0.032571429,sell,65.14285714,65.14285714,fibonacci_price_action,,L,
USDJPY,M1,1333,0.027285714,buy,54.57142857,54.57142857,fibonacci_price_action,,L,
USDJPY,M1,1341,0.024285714,sell,48.57142857,48.57142857,fibonacci_price_action,,L,
USDJPY,M1,1342,0.023857143,sell,47.71428571,47.71428571,fibonacci_price_action,,L,
USDJPY,M1,1351,0.03,sell,60,60,fibonacci_price_action,,W,
USDJPY,M1,1353,0.024,sell,48,48,fibonacci_price_action,,W,
USDJPY,M1,1364,0.027285714,buy,54.57142857,54.57142857,fibonacci_price_action,,L,
USDJPY,M1,1386,0.051571429,buy,103.1428571,103.1428571,fibonacci_price_action,,L,
USDJPY,M1,1409,0.016571429,sell,33.14285714,33.14285714,fibonacci_price_action,,L,
USDJPY,M1,1431,0.016571429,sell,33.14285714,33.14285714,fibonacci_price_action,,W,
