,time,open,high,low,close,tick_volume,spread,real_volume,Previous_High,Previous_Low,BOS_Up,BOS_Down,BOS_Signal
49,1743034800,3022.661,3023.715,3022.351,3023.548,303,112,0,3025.122,3021.158,False,False,No BOS
50,1743035100,3023.551,3023.756,3022.704,3023.386,370,112,0,3025.122,3021.546,False,False,No BOS
51,1743035400,3023.357,3023.826,3022.153,3022.153,318,112,0,3025.122,3022.351,False,True,Bearish BOS
52,1743035700,3022.091,3022.363,3021.683,3021.914,332,112,0,3023.826,3022.153,False,True,Bearish BOS
53,1743036000,3021.887,3023.327,3021.794,3023.165,316,112,0,3023.826,3021.683,False,False,No BOS
54,1743036300,3023.164,3024.031,3023.022,3023.728,310,112,0,3023.826,3021.683,False,False,No BOS
55,1743036600,3023.753,3024.94,3023.672,3024.881,330,112,0,3024.031,3021.683,True,False,Bullish BOS
56,1743036900,3024.883,3025.776,3024.432,3025.365,444,112,0,3024.94,3021.683,True,False,Bullish BOS
57,1743037200,3025.376,3027.195,3025.222,3026.495,847,112,0,3025.776,3021.683,True,False,Bullish BOS
58,1743037500,3026.488,3027.199,3025.725,3025.82,616,112,0,3027.195,3021.794,False,False,No BOS
59,1743037800,3025.852,3026.53,3025.04,3025.532,673,111,0,3027.199,3023.022,False,False,No BOS
60,1743038100,3025.526,3026.607,3024.957,3026.442,654,112,0,3027.199,3023.672,False,False,No BOS
61,1743038400,3026.371,3027.848,3026.147,3027.333,648,112,0,3027.199,3024.432,True,False,Bullish BOS
62,1743038700,3027.377,3028.416,3026.702,3026.967,644,112,0,3027.848,3024.957,False,False,No BOS
63,1743039000,3026.966,3027.481,3025.825,3025.853,492,112,0,3028.416,3024.957,False,False,No BOS
64,1743039300,3025.828,3027.466,3025.304,3026.381,618,112,0,3028.416,3024.957,False,False,No BOS
65,1743039600,3026.354,3027.067,3024.283,3024.67,779,111,0,3028.416,3024.957,False,True,Bearish BOS
66,1743039900,3024.606,3025.372,3023.392,3024.027,731,111,0,3028.416,3024.283,False,True,Bearish BOS
67,1743040200,3024.074,3024.35,3023.645,3024.052,630,112,0,3028.416,3023.392,False,False,No BOS
68,1743040500,3024.083,3024.257,3023.016,3023.588,478,112,0,3027.481,3023.392,False,False,No BOS
69,1743040800,3023.607,3024.931,3023.214,3024.854,631,112,0,3027.466,3023.016,False,False,No BOS
70,1743041100,3024.87,3026.139,3024.726,3025.927,651,112,0,3027.067,3023.016,False,False,No BOS
71,1743041400,3026.021,3026.66,3025.555,3026.124,620,112,0,3026.139,3023.016,False,False,No BOS
72,1743041700,3026.136,3026.991,3025.992,3026.725,468,112,0,3026.66,3023.016,True,False,Bullish BOS
73,1743042000,3026.766,3027.654,3026.437,3027.249,503,112,0,3026.991,3023.016,True,False,Bullish BOS
74,1743042300,3027.31,3027.544,3026.555,3027.271,505,112,0,3027.654,3023.214,False,False,No BOS
75,1743042600,3027.289,3028.742,3027.141,3028.648,637,112,0,3027.654,3024.726,True,False,Bullish BOS
76,1743042900,3028.633,3030.392,3028.576,3030.117,728,112,0,3028.742,3025.555,True,False,Bullish BOS
77,1743043200,3030.144,3032.834,3029.662,3031.396,921,112,0,3030.392,3025.992,True,False,Bullish BOS
78,1743043500,3031.372,3031.753,3029.504,3030.681,867,112,0,3032.834,3026.437,False,False,No BOS
79,1743043800,3030.694,3031.85,3030.25,3031.69,693,112,0,3032.834,3026.555,False,False,No BOS
80,1743044100,3031.685,3032.159,3031.052,3031.675,666,112,0,3032.834,3027.141,False,False,No BOS
81,1743044400,3031.679,3031.993,3030.153,3030.274,718,112,0,3032.834,3028.576,False,False,No BOS
82,1743044700,3030.232,3031.198,3029.678,3030.324,606,112,0,3032.834,3029.504,False,False,No BOS
83,1743045000,3030.288,3031.78,3030.097,3031.352,642,111,0,3032.159,3029.504,False,False,No BOS
