,time,open,high,low,close,tick_volume,spread,real_volume,symbol
25125,1729006500,1.09042,1.09055,1.09037,1.0904,44,6,0,EURUSD
25126,1729006560,1.0904,1.09045,1.09023,1.09029,41,6,0,EURUSD
25127,1729006620,1.0903100000000001,1.09034,1.09029,1.09029,19,6,0,EURUSD
25128,1729006680,1.09028,1.09037,1.09021,1.09023,49,6,0,EURUSD
25129,1729006740,1.09024,1.0903100000000001,1.09017,1.09017,30,6,0,EURUSD
25130,1729006800,1.09017,1.09023,1.09011,1.09017,42,6,0,EURUSD
25131,1729006860,1.09017,1.09023,1.09013,1.09019,39,6,0,EURUSD
25132,1729006920,1.09019,1.09019,1.09011,1.09016,29,6,0,EURUSD
25133,1729006980,1.09015,1.09028,1.09015,1.09028,30,6,0,EURUSD
25134,1729007040,1.09027,1.09038,1.09023,1.0903100000000001,29,6,0,EURUSD
25135,1729007100,1.0903100000000001,1.09035,1.09024,1.09027,44,6,0,EURUSD
25136,1729007160,1.09028,1.0904,1.09023,1.09024,45,6,0,EURUSD
25137,1729007220,1.09024,1.09024,1.09009,1.0901399999999999,35,6,0,EURUSD
25138,1729007280,1.0901399999999999,1.0902,1.08999,1.08999,54,6,0,EURUSD
25139,1729007340,1.08999,1.09011,1.08999,1.09008,33,6,0,EURUSD
25140,1729007400,1.09008,1.09024,1.09007,1.09018,36,6,0,EURUSD
25141,1729007460,1.09018,1.09019,1.09016,1.09019,17,6,0,EURUSD
25142,1729007520,1.09018,1.09018,1.08999,1.09002,30,6,0,EURUSD
25143,1729007580,1.09003,1.09007,1.08995,1.08995,21,6,0,EURUSD
25144,1729007640,1.08997,1.09004,1.08994,1.09003,41,6,0,EURUSD
25145,1729007700,1.09003,1.09005,1.08997,1.08998,20,6,0,EURUSD
25146,1729007760,1.08998,1.09003,1.08995,1.08996,17,6,0,EURUSD
25147,1729007820,1.08996,1.09004,1.08991,1.08994,33,6,0,EURUSD
25148,1729007880,1.08992,1.08997,1.08981,1.08992,46,6,0,EURUSD
25149,1729007940,1.08992,1.08994,1.08984,1.08989,33,6,0,EURUSD
25150,1729008000,1.08988,1.08989,1.08969,1.08973,41,6,0,EURUSD
25151,1729008060,1.08973,1.08981,1.08973,1.08977,27,6,0,EURUSD
25152,1729008120,1.08977,1.08985,1.08972,1.08974,33,6,0,EURUSD
25153,1729008180,1.08974,1.08983,1.08971,1.08979,43,6,0,EURUSD
25154,1729008240,1.08979,1.08985,1.08972,1.08984,28,6,0,EURUSD
25155,1729008300,1.08982,1.08987,1.0898,1.08986,13,6,0,EURUSD
25156,1729008360,1.08986,1.08994,1.08985,1.08992,25,6,0,EURUSD
25157,1729008420,1.08992,1.08995,1.08986,1.08988,33,6,0,EURUSD
25158,1729008480,1.08988,1.08994,1.08986,1.08993,33,6,0,EURUSD
25159,1729008540,1.08993,1.08997,1.08988,1.0899,37,6,0,EURUSD
25160,1729008600,1.0899,1.08997,1.0899,1.08993,32,6,0,EURUSD
25161,1729008660,1.08993,1.08997,1.08983,1.08997,33,6,0,EURUSD
25162,1729008720,1.08997,1.08997,1.08986,1.08993,27,6,0,EURUSD
25163,1729008780,1.08994,1.08998,1.08993,1.08996,17,6,0,EURUSD
25164,1729008840,1.08995,1.09006,1.08994,1.08999,31,6,0,EURUSD
25165,1729008900,1.08997,1.0902,1.08995,1.0902,34,6,0,EURUSD
25166,1729008960,1.09019,1.09021,1.09013,1.09016,34,6,0,EURUSD
25167,1729009020,1.09016,1.09016,1.08999,1.09002,24,6,0,EURUSD
25168,1729009080,1.09002,1.09005,1.08997,1.08997,29,6,0,EURUSD
25169,1729009140,1.08997,1.09003,1.08995,1.08997,26,6,0,EURUSD
25170,1729009200,1.08997,1.08997,1.08978,1.08988,42,6,0,EURUSD
25171,1729009260,1.08988,1.08988,1.08972,1.08974,35,6,0,EURUSD
25172,1729009320,1.08974,1.08979,1.0896,1.08979,36,6,0,EURUSD
25173,1729009380,1.08978,1.08978,1.08965,1.08965,29,6,0,EURUSD
25174,1729009440,1.08966,1.08966,1.08929,1.0894,62,6,0,EURUSD
25175,1729009500,1.08938,1.08948,1.08936,1.08939,36,6,0,EURUSD
25176,1729009560,1.08937,1.0894,1.08932,1.08935,27,6,0,EURUSD
